SMITH,1,"2,442,977"
JOHNSON,2,"1,932,812"
WILLIAMS,3,"1,625,252"
BROWN,4,"1,437,026"
JONES,5,"1,425,470"
GARCIA,6,"1,166,120"
MILLER,7,"1,161,437"
DAVIS,8,"1,116,357"
RODRIGUEZ,9,"1,094,924"
MARTINEZ,10,"1,060,159"
HERNANDEZ,11,"1,043,281"
LOPEZ,12,"874,523"
GONZALEZ,13,"841,025"
WILSON,14,"801,882"
ANDERSON,15,"784,404"
THOMAS,16,"756,142"
TAYLOR,17,"751,209"
MOORE,18,"724,374"
JACKSON,19,"708,099"
MARTIN,20,"702,625"
LEE,21,"693,023"
PEREZ,22,"681,645"
THOMPSON,23,"664,644"
WHITE,24,"660,491"
HARRIS,25,"624,252"
SANCHEZ,26,"612,752"
CLARK,27,"562,679"
RAMIREZ,28,"557,423"
LEWIS,29,"531,781"
ROBINSON,30,"529,821"
WALKER,31,"523,129"
YOUNG,32,"484,447"
ALLEN,33,"482,607"
KING,34,"465,422"
WRIGHT,35,"458,980"
SCOTT,36,"439,530"
TORRES,37,"437,813"
NGUYEN,38,"437,645"
HILL,39,"434,827"
FLORES,40,"433,969"
GREEN,41,"430,182"
ADAMS,42,"427,865"
NELSON,43,"424,958"
BAKER,44,"419,586"
HALL,45,"407,076"
RIVERA,46,"391,114"
CAMPBELL,47,"386,157"
MITCHELL,48,"384,486"
CARTER,49,"376,966"
ROBERTS,50,"376,774"
GOMEZ,51,"365,655"
PHILLIPS,52,"360,802"
EVANS,53,"355,593"
TURNER,54,"348,627"
DIAZ,55,"347,636"
PARKER,56,"336,221"
CRUZ,57,"334,201"
EDWARDS,58,"332,423"
COLLINS,59,"329,770"
REYES,60,"327,904"
STEWART,61,"324,957"
MORRIS,62,"318,884"
MORALES,63,"311,777"
MURPHY,64,"308,417"
COOK,65,"302,589"
ROGERS,66,"302,261"
GUTIERREZ,67,"293,218"
ORTIZ,68,"286,899"
MORGAN,69,"286,280"
COOPER,70,"280,791"
PETERSON,71,"278,297"
BAILEY,72,"277,845"
REED,73,"277,030"
KELLY,74,"267,394"
HOWARD,75,"264,826"
RAMOS,76,"263,464"
KIM,77,"262,352"
COX,78,"261,231"
WARD,79,"260,464"
RICHARDSON,80,"259,798"
WATSON,81,"252,579"
BROOKS,82,"251,663"
CHAVEZ,83,"250,898"
WOOD,84,"250,715"
JAMES,85,"249,379"
BENNETT,86,"247,599"
GRAY,87,"246,116"
MENDOZA,88,"242,771"
RUIZ,89,"238,234"
HUGHES,90,"236,271"
PRICE,91,"235,251"
ALVAREZ,92,"233,983"
CASTILLO,93,"230,420"
SANDERS,94,"230,374"
PATEL,95,"229,973"
MYERS,96,"229,895"
LONG,97,"229,374"
ROSS,98,"229,368"
FOSTER,99,"227,764"
JIMENEZ,100,"227,118"
POWELL,101,"224,874"
JENKINS,102,"222,653"
PERRY,103,"221,741"
RUSSELL,104,"221,558"
SULLIVAN,105,"220,990"
BELL,106,"220,599"
COLEMAN,107,"219,070"
BUTLER,108,"218,847"
HENDERSON,109,"218,393"
BARNES,110,"218,241"
GONZALES,111,"214,758"
FISHER,112,"214,703"
VASQUEZ,113,"212,781"
SIMMONS,114,"210,182"
ROMERO,115,"208,614"
JORDAN,116,"208,403"
PATTERSON,117,"205,423"
ALEXANDER,118,"204,621"
HAMILTON,119,"201,746"
GRAHAM,120,"201,159"
REYNOLDS,121,"200,247"
GRIFFIN,122,"198,406"
WALLACE,123,"197,276"
